Company , Domain , SecurityGateway , Mail Domain , MX
Hershey , thehersheycompany , MessageLabs , unknown , cluster1.us.messagelabs.com
Hershey , hersheys , MessageLabs , unknown , cluster1.us.messagelabs.com
CenterPoint Energy , centerpointenergy ,  , Office365 , centerpointenergy-com.mail.protection.outlook.com
Williams , williams , ProofPoint , unknown , mxb-00188a01.gslb.pphosted.com
DickÕs Sporting Goods , dickssportinggoods , ProofPoint , unknown , mxb-00228b01.gslb.pphosted.com
Live Nation Entertainment , livenation ,  , Office365 , livenation-com.mail.protection.outlook.com
Mutual of Omaha Insurance , mutualofomaha , Forcepoint , unknown , cust50103-2.in.mailcontrol.com
W.R. Berkley , wrberkley , MessageLabs , unknown , cluster5.us.messagelabs.com
LKQ , lkqcorp , ProofPoint , unknown , mxa-0019e001.gslb.pphosted.com
Avon Products , avon ,  , Office365 , avonglobal.mail.protection.outlook.com
Darden Restaurants , darden , ProofPoint , unknown , mxa-0017e701.gslb.pphosted.com
Kindred Healthcare , kindredhealthcare , Cisco , unknown , mx1.kindred.iphmx.com
Weyerhaeuser , weyerhaeuser ,  , Office365 , weyerhaeuser-com.mail.protection.outlook.com
CaseyÕs General Stores , caseys , Cisco , unknown , mx1.caseys.iphmx.com
Sealed Air , sealedair ,  , Google , ASPMX.L.GOOGLE.com
Fifth Third Bancorp ,53,  , own-domain , mailgw7.53.com
Dover , dovercorp ,  , Office365 , dovercorp-com.mail.eo.outlook.com
Huntington Ingalls Industries , hii-co ,  ,  , mail1.hii-nns.com
Netflix , netflix ,  , Google , aspmx.l.google.com
DillardÕs , dillards , ProofPoint , unknown , mxa-00085101.gslb.pphosted.com
EMCOR Group , emcorgroup , ProofPoint , unknown , mxa-0015e101.gslb.pphosted.com
Jones Financial , edwardjones ,  , own-domain , napasmss-1.edwardjones.com
AK Steel Holding , aksteel , MessageLabs , unknown , cluster6.us.messagelabs.com
UGI , ugicorp , ProofPoint , unknown , mx0b-0024bf01.pphosted.com
UGI , ugi , ProofPoint , unknown , mxb-0024bf01.gslb.pphosted.com
Expedia , expedia ,  , own-domain , mx1b.expedia.com
salesforce.com , salesforce ,  , Google , aspmx.l.google.com
Targa Resources , targaresources , Trend Micro , unknown , in.hes.trendmicro.com
Apache , apachecorp , ProofPoint , unknown , mxb-0002cc01.gslb.pphosted.com
Spirit AeroSystems Holdings , spiritaero ,  , Office365 , spiritaero-com.mail.protection.outlook.com
Expeditors International of Washington , expeditors ,  , Office365 , expeditors-com.mail.protection.outlook.com
Anixter International , anixter ,  , Office365 , anixter-com.mail.protection.outlook.com
Fidelity National Information Services , fisglobal ,  , Office365 , fisglobal-com.mail.protection.outlook.com
Asbury Automotive Group , asburyauto , ProofPoint , unknown , mxb-001e2601.gslb.pphosted.com
Hess , hess , Forcepoint , unknown , cust49581-2.in.mailcontrol.com
Ryder System , ryder ,  , own-domain , atlsmtp01.ryder.com
Terex , terex , MessageLabs , unknown , cluster8.us.messagelabs.com
Coca-Cola European Partners , cokecce ,  , Office365 , cokecce-com.mail.protection.outlook.com
Auto-Owners Insurance , aoins ,  , own-domain , exfilt3.aoins.com
Cablevision Systems , cablevision ,  , own-domain , cscpppsin04.cablevision.com
Symantec , symantec , MessageLabs , unknown , cluster4.us.messagelabs.com
Charles Schwab , aboutschwab ,  , Zoho , mx.zoho.com
Calpine , calpine , Cisco , unknown , mx1.calpine.iphmx.com
CMS Energy , cmsenergy ,  , Office365 , cmsenergy-com.mail.protection.outlook.com
Alliance Data Systems , alliancedata , MessageLabs , unknown , cluster5.us.messagelabs.com
JetBlue Airways , jetblue , MessageLabs , unknown , cluster2.us.messagelabs.com
Discovery Communications , discoverycommunications ,  ,  , mail.messaging.microsoft.com
Trinity Industries , trin , ProofPoint , unknown , mxa-00096201.gslb.pphosted.com
Sanmina , sanmina ,  , Google , aspmx.l.google.com
NCR , ncr , ProofPoint , unknown , mxb-00209e01.gslb.pphosted.com
FMC Technologies , fmctechnologies , ProofPoint , unknown , mxa-00166701.gslb.pphosted.com
Erie Insurance Group , erieinsurance , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
Rockwell Automation , rockwellautomation , MessageLabs , unknown , cluster6.us.messagelabs.com
Dr Pepper Snapple Group , drpeppersnapplegroup , CSC Global , unknown , custmx.cscdns.net
Dr Pepper Snapple Group , snapple ,  , emailsrvr.com , mx1.emailsrvr.com
Dr Pepper Snapple Group , drpepper ,  , Office365 , drpepper-com.mail.protection.outlook.com
iHeartMedia , iheartmedia , ProofPoint , unknown , mxb-001b1801.gslb.pphosted.com
Tractor Supply , tractorsupply , ProofPoint , unknown , mxb-0022f601.gslb.pphosted.com
J.B. Hunt Transport Services , jbhunt ,  , Office365 , jbhunt-com.mail.protection.outlook.com
Commercial Metals , cmc ,  , Office365 , cmc-com.mail.protection.outlook.com
Owens-Illinois , o-i ,  , Office365 , owensillinois.mail.protection.outlook.com
Harman International Industries , harman , MessageLabs , unknown , cluster5.us.messagelabs.com
Baxalta , baxalta , ProofPoint , unknown , mxa-00243e02.gslb.pphosted.com
American Financial Group , amfin , ProofPoint , unknown , mxb-001f9701.gslb.pphosted.com
NetApp , amfin , ProofPoint , unknown , mxa-001f9701.gslb.pphosted.com
Graybar Electric , graybar ,  , own-domain , ismx.graybar.com
Oshkosh , oshkoshcorp , MessageLabs , unknown , cluster1.us.messagelabs.com
Ameren , ameren ,  , Office365 , ameren-com.mail.protection.outlook.com
A-Mark Precious Metals , amark ,  , Office365 , amark-com.mail.protection.outlook.com
Barnes & Noble , bn , ProofPoint , unknown , mxa-00189e01.gslb.pphosted.com
Dana Holding , dana , MessageLabs , unknown , cluster1.us.messagelabs.com
Constellation Brands , cbrands , ProofPoint , unknown , mxa-001e0e01.gslb.pphosted.com
LifePoint Health , lifepointhealth ,  , Office365 , lifepointhealth-net.mail.protection.outlook.com
Zimmer Biomet Holdings , zimmerbiomet ,  , Office365 , zimmer-com.mail.protection.outlook.com
Harley-Davidson , harley-davidson ,  ,  , mx2.hc264-13.r1.ces.cisco.com
PulteGroup , pultegroupinc ,  , Google , pultegroup.com.s9a1.psmtp.com
PulteGroup , pulte , ProofPoint , unknown , mxb-001af501.gslb.pphosted.com
Newell Brands , newellbrands , CSC Global , unknown , custmx.cscdns.net
Avery Dennison , averydennison ,  , Google , aspmx.l.google.com
Jones Lang LaSalle , jll ,  , own-domain , smtp12.ap.jll.com
WEC Energy Group , wecenergygroup ,  , Office365 , wecenergygroup-com.mail.protection.outlook.com
Marathon Oil , marathonoil ,  , own-domain , pp1.marathonoil.com
TravelCenters of America , tatravelcenters , ProofPoint , unknown , mx0a-00250e01.pphosted.com
United Rentals , ur ,  , own-domain , mta1.ur.com
HRG Group , hrggroup , Barracuda , unknown , d65976a.ess.barracudanetworks.com
Old Republic International , oldrepublic , Cisco , unknown , mx1.greatwestcasualty.iphmx.com
Windstream Holdings , windstream ,  , own-domain , dell903.windstream.com
Starwood Hotels & Resorts , starwoodhotels ,  , Office365 , Starwoodhotels-com.mail.protection.outlook.com
Delek US Holdings , delekus , Mimecast , unknown , us-smtp-inbound-2.mimecast.com
Packaging Corp. of America , packagingcorp , ProofPoint , unknown , mxa-00212701.gslb.pphosted.com
Quintiles Transnational Holdings , quintiles ,  , Office365 , quintiles-com.mail.protection.outlook.com
Hanesbrands , hanes ,  , own-domain , mail1.hanesbi.net
Realogy Holdings , realogy , ProofPoint , unknown , mxb-00137901.gslb.pphosted.com
Mattel , mattel ,  , own-domain , mailb.mattel.com
Motorola Solutions , motorolasolutions , ProofPoint , unknown , mxb-0019e102.gslb.pphosted.com
Motorola Solutions , motorola ,  , Google , ASPMX.L.GOOGLE.com
J.M. Smucker , jmsmucker , MessageLabs , unknown , cluster6.us.messagelabs.com
J.M. Smucker , smuckers ,  , emailsrvr.com , mx1.emailsrvr.com
Regions Financial , regions ,  , Google , ASPMX.L.GOOGLE.com
Celanese , celanese , ProofPoint , unknown , mxa-0016a101.gslb.pphosted.com
Clorox , clorox ,  , Office365 , Clorox-com.mail.protection.outlook.com
Ingredion , ingredion , MessageLabs , unknown , cluster5.us.messagelabs.com
Genesis Healthcare , genesishcc ,  , own-domain , mx171.genesishcc.com
Peabody Energy , peabodyenergy , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
Alaska Air Group , alaskaair ,  , Office365 , Alaskaair-com.mail.protection.outlook.com
Seaboard , seaboardcorp , ProofPoint , unknown , mxa-00166602.gslb.pphosted.com
Frontier Communications , frontier ,  , Yahoo! , mta5.am0.yahoodns.net
Amphenol , amphenol ,  , Office365 , amphenol-com.mail.protection.outlook.com
Lansing Trade Group , lansingtradegroup , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
SanDisk , sandisk , Cisco , unknown , mx1.hgst.iphmx.com
St. Jude Medical , sjm , ProofPoint , unknown , mxa-00140101.gslb.pphosted.com
Wyndham Worldwide , wyndhamworldwide , ProofPoint , unknown , mxa-00128602.gslb.pphosted.com
Kelly Services , kellyservices ,  , Office365 , kellyservices-com.mail.protection.outlook.com
Western Union , westernunion , ProofPoint , unknown , mxa-00002a01.gslb.pphosted.com
Envision Healthcare Holdings , evhc ,  , Office365 , evhc-net.mail.protection.outlook.com
Visteon , visteon ,  , Office365 , visteon-com.mail.eo.outlook.com
Arthur J. Gallagher , ajg , MessageLabs , unknown , cluster4.us.messagelabs.com
Host Hotels & Resorts , hosthotels ,  , Office365 , hosthotels-com.mail.protection.outlook.com
Ashland , ashland , Mimecast , unknown , us-smtp-inbound-2.mimecast.com
Insight Enterprises , insight , MessageLabs , unknown , cluster8.us.messagelabs.com
Energy Future Holdings , energyfutureholdings ,  , Office365 , energyfutureholdings-com.mail.protection.outlook.com
Markel , markelcorp , Forcepoint , unknown , cust41543-1.in.mailcontrol.com
Essendant , essendant ,  , own-domain , mx2.essendant.com
CH2M Hill , ch2m , Cisco , unknown , mx2.ch2m.iphmx.com
Western & Southern Financial Group , wsfgrp ,  , own-domain , mx1.wsfgrp.com
Owens Corning , owenscorning ,  , Office365 , owenscorning-com.mail.protection.outlook.com
S&P Global , spglobal ,  , own-domain , nj12corpmr01.spglobal.com
Raymond James Financial , rjf ,  , own-domain , smtp1.rjf.com
NiSource , nisource , ProofPoint , unknown , mxa-00206302.gslb.pphosted.com
Airgas , airgas , MessageLabs , unknown , cluster1.us.messagelabs.com
ABM Industries , abm , ProofPoint , unknown , mxa-00030f01.gslb.pphosted.com
Citizens Financial Group , citizensbank ,  , Office365 , citizensbank-com.mail.protection.outlook.com
Booz Allen Hamilton Holding , bah ,  , own-domain , prodesa01-ext.bah.com
Simon Property Group , simon , MessageLabs , unknown , cluster9.us.messagelabs.com
Domtar , domtar , ProofPoint , unknown , mxb-001d9701.gslb.pphosted.com
Rockwell Collins , rockwellcollins ,  , own-domain , mail06.rockwellcollins.com
Lam Research , lamresearch , ProofPoint , unknown , mxa-00054001.gslb.pphosted.com
Fiserv , fiserv ,  , own-domain , mail3.fiserv.com
Spectra Energy , spectraenergy , Cisco , unknown , mx2.spectraenergy.iphmx.com
Navient , navient , MessageLabs , unknown , cluster1.us.messagelabs.com
Big Lots , biglots , ProofPoint , unknown , mx0a-00283501.pphosted.com
Telephone & Data Systems , tdsinc ,  , own-domain , extsmtp01.tdsinc.com
First American Financial , firstam , Cisco , unknown , MX1.firstam.iphmx.com
NVR , nvrinc ,  , own-domain , mail.nvrinc.com
Cincinnati Financial , cinfin , ProofPoint , unknown , mx0a-0015a401.pphosted.com
Burlington Stores , coat ,  , own-domain , mailhost4.coat.com
